iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T08:15:42+07:00,52227,82.0,164744,1410052,11,1023
2026-08-13T08:15:44+07:00,52227,84.0,164744,1410052,11,1023
2026-08-13T08:15:46+07:00,52227,90.0,164744,1410052,11,1023
2026-08-13T08:15:48+07:00,52227,87.0,164744,1410052,11,1023
2026-08-13T08:15:50+07:00,52227,85.0,164744,1410052,11,1023
2026-08-13T08:15:52+07:00,52227,78.5,164744,1410052,11,1023
2026-08-13T08:15:55+07:00,52227,80.0,164744,1410052,11,1023
2026-08-13T08:15:57+07:00,52227,83.0,164744,1410052,11,1023
2026-08-13T08:15:59+07:00,52227,84.0,164744,1410052,11,1023
2026-08-13T08:16:01+07:00,52227,81.5,164744,1410052,11,1023
2026-08-13T08:16:03+07:00,52227,80.5,164744,1410052,11,1023
2026-08-13T08:16:05+07:00,52227,82.5,164744,1410052,11,1023
2026-08-13T08:16:07+07:00,52227,85.0,164744,1410052,11,1023
2026-08-13T08:16:09+07:00,52227,86.5,164744,1410052,11,1023
2026-08-13T08:16:11+07:00,52227,88.0,164744,1410052,11,1023
2026-08-13T08:16:13+07:00,52227,97.5,164744,1410052,11,1023
2026-08-13T08:16:15+07:00,52227,94.5,164744,1410052,11,1023
2026-08-13T08:16:17+07:00,52227,92.0,164744,1410052,11,1023
2026-08-13T08:16:19+07:00,52227,92.5,164744,1410052,11,1023
2026-08-13T08:16:21+07:00,52227,93.0,164744,1410052,11,1023
2026-08-13T08:16:23+07:00,52227,92.0,164744,1410052,11,1023
2026-08-13T08:16:25+07:00,52227,89.0,164744,1410052,11,1023
2026-08-13T08:16:27+07:00,52227,87.0,164744,1410052,11,1023
2026-08-13T08:16:29+07:00,52227,87.0,164744,1410052,11,1023
2026-08-13T08:16:31+07:00,52227,86.5,164744,1410052,11,1023
2026-08-13T08:16:33+07:00,52227,84.5,164744,1410052,11,1023
2026-08-13T08:16:35+07:00,52227,85.5,164744,1410052,11,1023
2026-08-13T08:16:37+07:00,52227,86.5,164744,1410052,11,1023
2026-08-13T08:16:39+07:00,52227,89.5,164744,1410052,11,1023
2026-08-13T08:16:41+07:00,52227,91.5,164744,1410052,11,1023
2026-08-13T08:16:43+07:00,52227,101.5,164744,1410052,11,1023
2026-08-13T08:16:45+07:00,52227,101.5,164788,1410052,11,1023
2026-08-13T08:16:47+07:00,52227,107.0,164788,1410052,11,1023
2026-08-13T08:16:49+07:00,52227,100.0,164788,1410052,11,1023
2026-08-13T08:16:51+07:00,52227,89.0,164788,1410052,11,1023
2026-08-13T08:16:53+07:00,52227,89.0,164788,1410052,11,1023
2026-08-13T08:16:55+07:00,52227,91.5,164788,1410052,11,1023
2026-08-13T08:16:57+07:00,52227,90.5,164788,1410052,11,1023
2026-08-13T08:16:59+07:00,52227,86.5,164808,1410052,11,1023
2026-08-13T08:17:01+07:00,52227,88.5,164836,1410052,11,390
2026-08-13T08:17:03+07:00,52227,18.0,164840,1410052,11,23
2026-08-13T08:17:05+07:00,52227,0.0,164840,1410052,11,23
2026-08-13T08:17:07+07:00,52227,0.0,164840,1410052,11,23
2026-08-13T08:17:10+07:00,52227,1.0,96656,1341188,11,23
2026-08-13T08:17:12+07:00,52227,1.0,93992,1338628,11,23
2026-08-13T08:17:14+07:00,52227,0.0,93992,1338628,11,23
